Name,Size,Type,Sub-Type,Alignment,AC,Hit Points,STR,DEX,CON,INT,WIS,CHA,Challenge,Proficiency Bonus
A-Mi-Kuk,H,Aberration,,CE,14 (natural),115 (10d12+50),21,8,20,7,14,10,7,3
Aalpamac,H,Monstrosity,,,16 (natural),136 (13d12+52),21,10,19,2,16,10,7,3
Aarakocra,M,Humanoid,,NG,12,13 (3d8),10,14,10,11,12,11,0.25,2
Aasimar,M,Humanoid,Aasimar,LG,16 (chainmail),27 (5d8+5),13,12,12,10,13,12,1,2
Aatxe,L,Celestial,Shapechanger,LG,14 (natural),105 (10d10+50),22,12,20,10,14,14,5,3
Aaztar-ghola,M,Humanoid,,CE,13 (mage armor),38 (7d8+7),14,11,12,16,11,12,4,2
Abasheen,L,Elemental,Genie,N,16 (natural),102 (12d10+36),16,14,16,20,18,17,6,3
Abbanith_Giant,L,Giant,,N,13 (natural),76 (9d10+27),20,9,17,10,13,11,3,2
Abhorrent_Overlord,L,Fiend,,LE,16 (natural),136 (16d10+48),20,18,16,15,14,16,9,4
Abjurer,M,Humanoid,,,12 (15 with mage armor),84 (13d8+26),9,14,14,18,12,11,9,4
Aboleth,L,Aberration,,LE,17 (natural),135 (18d10+36),21,9,15,18,15,18,10,4
Aboleth's_Nihlethic_Zombie,M,Undead,,NE,9 (natural),22 (3d8+9),13,6,16,3,6,5,1,2
Abominable_Beauty,M,Fey,,NE,18 (natural),187 (22d8+88),17,18,18,17,16,26,11,4
Abominable_Yeti,H,Monstrosity,,CE,15 (natural),137 (11d12+66),24,10,22,9,13,9,9,4
Abyssal_Chicken,T,Fiend,Demon,CE,13 (natural),10 (3d4+3),6,14,13,4,9,5,0.25,2
Abyssal_Harvester,G,Aberration,,CE,17 (natural),370 (20d20+160),27,10,26,10,16,13,20,6
Abyssal_Larva,M,Fiend,,CE,12 (natural),39 (6d8+12),10,13,14,3,10,7,0.5,2
Abyssal_Wretch,M,Fiend,Demon,CE,11,18 (4d8),9,12,11,5,8,5,0.25,2
Accursed_Defiler,M,Undead,,NE,12,75 (10d8+30),19,14,17,6,15,14,4,2
Acererak,M,Undead,,NE,21 (natural),285 (30d8+150),13,16,20,27,21,20,23,7
Acid_Ant,S,Monstrosity,,,13 (natural),13 (3d6+3),8,13,12,1,7,3,0.25,2
"Acid_Elemental,_Huge",H,Elemental,,N,15,103 (9d12+45),22,16,20,6,11,11,9,4
"Acid_Elemental,_Large",L,Elemental,,N,15,94 (9d10+45),22,16,20,6,11,11,7,3
"Acid_Elemental,_Medium",M,Elemental,,N,13,68 (8d8+32),21,16,19,6,11,11,5,3
"Acid_Elemental,_Small",S,Elemental,,N,12,60 (8d6+32),15,16,19,6,11,11,3,2
Acidsap_Gympie,G,Plant,,,22 (natural),370 (19d20+171),17,1,28,5,16,5,15,5
Acolyte,M,Humanoid,,,10,9 (2d8),10,10,10,10,14,11,0.25,2
Adamant_Diligence,H,Celestial,,NG,23 (natural),406 (28d12+224),14,30,26,20,25,22,28,8
Adherer,M,Aberration,,LE,13 (natural),45 (7d8+14),14,12,14,4,11,8,2,2
Adraknid,G,Monstrosity,,,20 (natural),363 (22d20+132),21,25,22,12,20,1,18,6
Adult_Amethyst_Dragon,H,Dragon,"Amethyst Dragon, Gem",N,19 (natural),229 (17d12+119),25,14,25,20,17,21,16,5
Adult_Black_Dragon,H,Dragon,Black Dragon,CE,19 (natural),195 (17d12+85),23,14,21,14,13,17,14,5
Adult_Blue_Dracolich,H,Undead,,LE,19 (natural),225 (18d12+108),25,10,23,16,15,19,17,6
Adult_Blue_Dragon,H,Dragon,Blue Dragon,LE,19 (natural),225 (18d12+108),25,10,23,16,15,19,16,5
Adult_Boreal_Dragon,H,Dragon,Boreal Dragon,CN,19 (natural),212 (17d12+102),25,10,23,15,17,16,17,6
Adult_Brass_Dragon,H,Dragon,Brass Dragon,CG,18 (natural),172 (15d12+75),23,10,21,14,13,17,13,5
Adult_Bronze_Dragon,H,Dragon,Bronze Dragon,LG,19 (natural),212 (17d12+102),25,10,23,16,15,19,15,5
Adult_Brown_Dragon,H,Dragon,Brown Dragon,E,19 (natural),312 (25d12+150),28,10,22,13,20,6,18,6
Adult_Cave_Dragon,H,Dragon,Cave Dragon,NE,18 (natural),243 (18d12+126),26,12,24,12,12,20,16,5
Adult_Cloud_Dragon,H,Dragon,Cloud Dragon,N,18 (natural),195 (17d12+85),23,12,21,18,15,17,15,5
Adult_Copper_Dragon,H,Dragon,Copper Dragon,CG,18 (natural),184 (16d12+80),23,12,21,18,15,17,14,5
Adult_Crystal_Dragon,H,Dragon,"Crystal Dragon, Gem",CN,16 (natural),172 (15d12+75),21,12,21,18,15,19,12,4
Adult_Deep_Dragon,H,Dragon,Deep Dragon,NE,17 (natural),147 (14d12+56),20,14,18,16,16,18,11,4
Adult_Dungeon_Dragon,H,Dragon,Dungeon Dragon,N,18 (natural),364 (27d12+189),27,10,25,16,17,21,16,5
Adult_Electrum_Dragon,H,Dragon,Electrum Dragon,NG,19 (natural),242 (18d12+126),27,10,25,16,14,22,16,5
Adult_Emerald_Dragon,H,Dragon,"Emerald Dragon, Gem",LN,18 (natural),207 (18d12+90),23,12,21,18,16,18,14,5
Adult_Flame_Dragon,H,Dragon,Flame Dragon,CE,19 (natural),212 (17d12+102),19,14,23,17,14,20,16,5
Adult_Gold_Dragon,H,Dragon,Gold Dragon,LG,19 (natural),256 (19d12+133),27,14,25,16,15,24,17,6
Adult_Gray_Dragon,H,Dragon,Gray Dragon,CE,20 (natural),218 (19d12+95),24,15,21,15,15,17,17,6
Adult_Green_Dragon,H,Dragon,Green Dragon,LE,19 (natural),207 (18d12+90),23,12,21,18,15,17,15,5
Adult_Imperial_Dragon,H,Dragon,Imperial Dragon,N,19 (natural),297 (22d12+154),27,12,25,18,16,18,20,6
Adult_Kruthik,M,Monstrosity,,,18 (natural),39 (6d8+12),15,16,15,7,12,8,2,2
Adult_Light_Dragon,H,Dragon,Light Dragon,NG,17 (natural),212 (17d12+102),22,10,23,16,18,17,16,5
Adult_Mist_Dragon,H,Dragon,Mist Dragon,N,18 (natural),189 (14d12+98),25,14,25,16,14,21,15,5
Adult_Mithral_Dragon,H,Dragon,Mithral Dragon,N,18 (natural),184 (16d12+80),27,18,21,20,21,20,14,5
Adult_Moonstone_Dragon,H,Dragon,Moonstone Dragon,N,19 (natural),195 (17d12+85),20,18,20,22,20,23,15,5
Adult_Oblex,M,Ooze,,LE,14,75 (10d8+30),8,19,16,19,12,15,5,3
Adult_Red_Dracolich,H,Undead,,CE,19 (natural),256 (19d12+133),27,10,25,16,13,21,18,6
